Name,scenario-beta-same-Expected Spread,scenario-beta-same-Faster Spread,scenario-beta-same-Slower Spread,scenario-beta-lifted-Expected Spread,scenario-beta-lifted-Faster Spread,scenario-beta-lifted-Slower Spread,scenario-beta-tight-Expected Spread,scenario-beta-tight-Faster Spread,scenario-beta-tight-Slower Spread
Togo,0.5772953283,0.7359218063,0.4186688502,0.6772953283,0.8359218063,0.5186688502,0.7772953283,0.9359218063,0.6186688502
Thailand,0.5031045329,0.6380543187,0.3681547471,0.6031045329,0.7380543187,0.4681547471,0.7031045329,0.8380543187,0.5681547471
Tajikistan,0.448458572,0.51649868,0.380418464,0.548458572,0.61649868,0.480418464,0.648458572,0.71649868,0.580418464
Tunisia,0.4646189736,0.645843413,0.2833945343,0.5646189736,0.745843413,0.3833945343,0.6646189736,0.845843413,0.4833945343
Turkey,0.5097461423,0.5561404044,0.4633518803,0.6097461423,0.6561404044,0.5633518803,0.7097461423,0.7561404044,0.6633518803
Taiwan,0.45,0.3,0.5,0.55,0.4,0.6,0.65,0.5,0.7
Uganda,0.4857595308,0.5931144853,0.3784045763,0.5857595308,0.6931144853,0.4784045763,0.6857595308,0.7931144853,0.5784045763
Ukraine,0.5442096171,0.5987658185,0.4896534157,0.6442096171,0.6987658185,0.5896534157,0.7442096171,0.7987658185,0.6896534157
Uruguay,0.6887064131,0.8953770735,0.4820357526,0.7887064131,0.9953770735,0.5820357526,0.8887064131,1.095377074,0.6820357526
United States,0.6144468019,0.65,0.55,0.7144468019,0.75,0.65,0.8144468019,0.85,0.75
Uzbekistan,0.629907586,0.677473481,0.5823416909,0.729907586,0.777473481,0.6823416909,0.829907586,0.877473481,0.7823416909
Venezuela,0.6540232386,0.7213754807,0.5866709964,0.7540232386,0.8213754807,0.6866709964,0.8540232386,0.9213754807,0.7866709964
Viet Nam,0.45,0.3,0.5,0.55,0.4,0.6,0.65,0.5,0.7
Yemen,0.4412218644,0.5584874887,0.3239562402,0.5412218644,0.6584874887,0.4239562402,0.6412218644,0.7584874887,0.5239562402
South Africa,0.6500550583,0.6658513585,0.634258758,0.7500550583,0.7658513585,0.734258758,0.8500550583,0.8658513585,0.834258758
Zambia,0.4991958215,0.7288183634,0.2695732797,0.5991958215,0.8288183634,0.3695732797,0.6991958215,0.9288183634,0.4695732797
Zimbabwe,0.5361628953,0.7162650046,0.3560607861,0.6361628953,0.8162650046,0.4560607861,0.7361628953,0.9162650046,0.5560607861
