Name,Country,Date Start,Date end intended,Implementing State/Province,Implementing City,Description of measure implemented,Keywords,Exceptions,Applies To,Target country,Target region,Tests per day,Tests conducted to date,Contacts traced to date,Column 1,Source,Target state,Target city
Italy,Italy,"Mar 08, 2020","Apr 04, 2020",,,"stop cultural activities (cinemas, theaters, museums, pubs, game halls, discos)",activity cancellation,,,,,,,,,https://www.mzv.cz/rome/cz/viza_a_konzularni_informace/dalsi_zesilena_opatreni_proti_sireni.html,,
Italy,Italy,"Mar 08, 2020","Apr 04, 2020",,,"stop sport activities (gyms, swimming pools, thermal centers)","activity cancellation, sport cancellation",,,,,,,,,https://www.mzv.cz/rome/cz/viza_a_konzularni_informace/dalsi_zesilena_opatreni_proti_sireni.html,,
Italy,Italy,"Mar 08, 2020","Apr 04, 2020",,,stop religious activities,"activity cancellation, religious activity cancellation",,,,,,,,,https://www.mzv.cz/rome/cz/viza_a_konzularni_informace/dalsi_zesilena_opatreni_proti_sireni.html,,
Italy,Italy,"Mar 08, 2020","Apr 04, 2020",,,stop exhibitions,activity cancellation,,,,,,,,,https://www.mzv.cz/rome/cz/viza_a_konzularni_informace/dalsi_zesilena_opatreni_proti_sireni.html,,
Italy,Italy,"Mar 08, 2020","Apr 04, 2020",,,school facilities of all levels are closed.,school closure,,,,,,,,,https://www.mzv.cz/rome/cz/viza_a_konzularni_informace/dalsi_zesilena_opatreni_proti_sireni.html,,
Italy,Italy,"Jan 31, 2020",,,,has declared a public health emergency for six months,public announcement,,,,,,,,,https://www.mzv.cz/rome/cz/viza_a_konzularni_informace/dalsi_zesilena_opatreni_proti_sireni.html,,
Czechia,Czechia,"Mar 14, 2020","Mar 24, 2020",,,closure of shops,business suspension,"grocery, pharmacy, drugstore, gas stations",,,,,,,,https://koronavirus.mzcr.cz/vyvoj-udalosti-v-case/,,
Czechia,Czechia,"Mar 14, 2020","Mar 24, 2020",,,"ban on the presence of public in catering establishments ",business suspension,staffing and boarding of health and social service providers or prisons,,,,,,,,https://koronavirus.mzcr.cz/vyvoj-udalosti-v-case/,,
Czechia,Czechia,"Mar 13, 2020",,,,"Quarantine (14 days at home) for all incoming from high-risk countries (China, Iran, Italy, South Korea, France, Spain, Germany, Switzerland, Norway, Denmark, The Netherlands, Sweden, The United Kingdom, Belgium, Austria)","14 days, international traveller screening, targeted isolation",,,,,,,,,https://koronavirus.mzcr.cz/vyvoj-udalosti-v-case/,,
Czechia,Czechia,"Mar 13, 2020",,,,ban on leaving the republic,country quarantine,,,,,,,,,https://koronavirus.mzcr.cz/vyvoj-udalosti-v-case/,,
Czechia,Czechia,"Mar 12, 2020",,,,has declared an emergency situation throughout the Czech Republic due to coronavirus,emergency declaration,,,,,,,,,https://koronavirus.mzcr.cz/vyvoj-udalosti-v-case/,,
,China,"Feb 14, 2020",,Shenzhen,,"Shenzhen Metro would start using real-name system starting 16 Feb for epidemic tracing, with passengers able to self-register the carriages they ride in by scanning the QR code in the train","contact tracing, phone based location tracing, public transport occupancy tracing",public transport,,,,,,,,https://en.wikipedia.org/wiki/Timeline_of_the_2019%E2%80%9320_coronavirus_pandemic_in_February_2020#cite_note-617,,
,China,"Feb 14, 2020",,,,The Office of the State Council Education Steering Committee prohibited all after-school training institutions from conducting offline training in any form.,"mandated remote work, remote work",,,,,,,,,https://www.jiemian.com/article/3985044.html,,
,China,"Feb 14, 2020",,,,All mainland IELTS exams in March were cancelled,"activity cancellation, school closure",,,,,,,,,https://en.wikipedia.org/wiki/Timeline_of_the_2019%E2%80%9320_coronavirus_pandemic_in_February_2020#cite_note-619,,
,China,"Feb 15, 2020",,Hubei,Jingmen,"Jingmen, Hubei escalated control, prohibiting outside vehicles and persons from entering its central districts except for medical and living supplies,","blanket house confinement, compulsory isolation",,,,,,,,,https://www.jiemian.com/article/3987089.html,,
,China,"Feb 15, 2020",,Hubei,Jingmen,"Jingmen, Hubei escalated control, prohibiting outside vehicles and persons from entering its central districts except for medical and living supplies, and shutting down all business except approved pharmacies, supermarkets, and hotels",business suspension,,,,,,,,,https://en.wikipedia.org/wiki/Timeline_of_the_2019%E2%80%9320_coronavirus_pandemic_in_February_2020#cite_note-621,,
,China,"Feb 15, 2020",,,,"The Central Bank of China required cash from outbreak areas to be stored for at least 14 days before entering market, 7 days for other areas.","cash hygiene, public hygiene",,,,,,,,,https://en.wikipedia.org/wiki/Timeline_of_the_2019%E2%80%9320_coronavirus_pandemic_in_February_2020#cite_note-625,,
